2026-03-19 17:35:22 [INFO   ] EmbedSim.Sink — EmbedSim init  T=0.04 s  dt=1e-05 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\Sink_20260319_173522.log
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — PARSE  ThreePhaseSine                  type=ThreePhaseGenerator        dynamic=False  loop_breaker=False
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — PARSE  cg_start                        type=CodeGenStart               dynamic=False  loop_breaker=False
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — PARSE  Clarke                          type=ClarkeTransformBlock       dynamic=False  loop_breaker=False
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — PARSE  Theta                           type=VectorConstant             dynamic=False  loop_breaker=False
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — PARSE  Park                            type=ParkTransformBlock         dynamic=False  loop_breaker=False
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — PARSE  cg_end                          type=CodeGenEnd                 dynamic=False  loop_breaker=False
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — PARSE  Sink                            type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-19 17:35:22 [INFO   ] EmbedSim.Sink — Graph resolved: 7 blocks  (0 dynamic, 7 static, 0 loop breakers)
2026-03-19 17:35:22 [INFO   ] EmbedSim.Sink — run() start  T=0.04 s  dt=1e-05 s  steps=3999  solver=RK4
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000000 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000000 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000000 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000000 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000000 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000000 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000000 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000005 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000010 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000010 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000010 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000010 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000010 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000010 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00000  t=0.000010 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000010 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000010 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000010 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000010 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000010 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000010 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000010 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Clarke                          (ClarkeTransformBlock)
