2026-03-17 16:09:03 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.01 s  dt=1e-06 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260317_160903.log
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — PARSE  vref                            type=VectorStep                 dynamic=False  loop_breaker=False
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — PARSE  fb                              type=VectorDelay                dynamic=False  loop_breaker=True
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — PARSE  ai_pi                           type=AIPIController             dynamic=True  loop_breaker=False
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — PARSE  buck                            type=BuckConverterBlock         dynamic=False  loop_breaker=False
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — PARSE  sink                            type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-17 16:09:03 [INFO   ] EmbedSim.sink — Graph resolved: 5 blocks  (1 dynamic, 4 static, 1 loop breakers)
2026-03-17 16:09:03 [INFO   ] EmbedSim.sink — run() start  T=0.01 s  dt=1e-06 s  steps=10000  solver=RK4
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vref                            (VectorStep)
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  fb                              (VectorDelay)
2026-03-17 16:09:03 [WARNING] EmbedSim.sink —   zero-fallback input: block 'fb' ← upstream 'buck' has no output yet at t=0.000000
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  ai_pi                           (AIPIController)
2026-03-17 16:09:03 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000001 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000001 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000001 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000001 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000001 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000001 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000001 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000001 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000001 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000001 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000002 s  sink                            (VectorEnd)
