2026-03-17 16:10:10 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.012 s  dt=5e-06 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260317_161010.log
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — PARSE  vref                            type=VectorStep                 dynamic=False  loop_breaker=False
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — PARSE  fb                              type=VectorDelay                dynamic=False  loop_breaker=True
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — PARSE  pi                              type=PI_BuckBlock               dynamic=True  loop_breaker=False
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — PARSE  buck                            type=BuckConverterBlock         dynamic=False  loop_breaker=False
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — PARSE  sink                            type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-17 16:10:10 [INFO   ] EmbedSim.sink — Graph resolved: 5 blocks  (1 dynamic, 4 static, 1 loop breakers)
2026-03-17 16:10:10 [INFO   ] EmbedSim.sink — run() start  T=0.012 s  dt=5e-06 s  steps=2400  solver=EULER
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vref                            (VectorStep)
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  fb                              (VectorDelay)
2026-03-17 16:10:10 [WARNING] EmbedSim.sink —   zero-fallback input: block 'fb' ← upstream 'buck' has no output yet at t=0.000000
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  pi                              (PI_BuckBlock)
2026-03-17 16:10:10 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  buck                            (BuckConverterBlock)
2026-03-17 16:10:11 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sink                            (VectorEnd)
2026-03-17 16:10:11 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000005 s  vref                            (VectorStep)
2026-03-17 16:10:11 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000005 s  fb                              (VectorDelay)
2026-03-17 16:10:11 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000005 s  pi                              (PI_BuckBlock)
2026-03-17 16:10:11 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000005 s  buck                            (BuckConverterBlock)
2026-03-17 16:10:11 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000005 s  sink                            (VectorEnd)
2026-03-17 16:10:11 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.000010 s  vref                            (VectorStep)
