2026-03-19 14:52:53 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.8 s  dt=0.0005 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260319_145253.log
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  speed_ref                       type=SpeedRampBlock             dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  vf_angle                        type=VfAngleWithBoostBlock      dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  vf_dq                           type=VfDQBlock                  dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  vf_theta                        type=VfThetaBlock               dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  inv_park                        type=InvParkTransformBlock      dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  svpwm_pack                      type=SVPWMPackBlock             dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  cg_start                        type=CodeGenStart               dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  svpwm                           type=SVPWMBlock                 dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  motor_sink                      type=DB42S02PlantBlock          dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  sink                            type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  cg_end                          type=CodeGenEnd                 dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — PARSE  sink_cg                         type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-19 14:52:53 [INFO   ] EmbedSim.sink — Graph resolved: 12 blocks  (0 dynamic, 12 static, 0 loop breakers)
2026-03-19 14:52:53 [INFO   ] EmbedSim.sink — run() start  T=0.8 s  dt=0.0005 s  steps=1600  solver=EULER
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vf_dq                           (VfDQBlock)
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  cg_start                        (CodeGenStart)
2026-03-19 14:52:53 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  svpwm                           (SVPWMBlock)
