2026-03-16 06:40:56 [INFO   ] EmbedSim.speed — EmbedSim init  T=10.0 s  dt=0.02 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\speed_20260316_064056.log
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  setpoint                        type=VectorConstant             dynamic=False  loop_breaker=False
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  fb_delay                        type=VectorDelay                dynamic=False  loop_breaker=True
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  error_sum                       type=VectorSum                  dynamic=False  loop_breaker=False
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  pi_ctrl                         type=ScriptBlock                dynamic=False  loop_breaker=False
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  plant_deriv                     type=ScriptBlock                dynamic=False  loop_breaker=False
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  plant_int                       type=VectorIntegrator           dynamic=True  loop_breaker=False
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  speed                           type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — PARSE  control                         type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-16 06:40:56 [INFO   ] EmbedSim.speed — Graph resolved: 8 blocks  (1 dynamic, 7 static, 1 loop breakers)
2026-03-16 06:40:56 [INFO   ] EmbedSim.speed — run() start  T=10.0 s  dt=0.02 s  steps=500  solver=EULER
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  setpoint                        (VectorConstant)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  fb_delay                        (VectorDelay)
2026-03-16 06:40:56 [WARNING] EmbedSim.speed —   zero-fallback input: block 'fb_delay' ← upstream 'plant_int' has no output yet at t=0.000000
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  error_sum                       (VectorSum)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  pi_ctrl                         (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  plant_deriv                     (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  plant_int                       (VectorIntegrator)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  speed                           (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00000  t=0.000000 s  control                         (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00001  t=0.020000 s  setpoint                        (VectorConstant)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00001  t=0.020000 s  fb_delay                        (VectorDelay)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00001  t=0.020000 s  error_sum                       (VectorSum)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00001  t=0.020000 s  pi_ctrl                         (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00001  t=0.020000 s  plant_deriv                     (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00001  t=0.020000 s  plant_int                       (VectorIntegrator)
